step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
727,0.12927,0.9378,,
728,0.14999,0.93361,,
729,0.13035,0.93591,,
730,0.15716,0.92583,,
731,0.10786,0.94054,,
732,0.15636,0.92181,,
733,0.1195,0.93911,,
734,0.12199,0.93676,,
735,0.11911,0.9426,,
736,0.1626,0.92233,,
737,0.12271,0.94688,,
738,0.14039,0.94131,,
739,0.13465,0.95562,,
740,0.16232,0.91833,,
741,0.10919,0.94932,,
742,0.14157,0.93525,,
743,0.15351,0.92622,,
744,0.10979,0.93974,,
745,0.15452,0.92245,,
746,0.10785,0.95835,,
747,0.10762,0.96113,,
748,0.10599,0.95736,,
749,0.13907,0.94278,,
750,0.11966,0.93893,,
751,0.10375,0.95609,,
752,0.14273,0.93342,,
753,0.1565,0.91798,,
754,0.13836,0.93383,,
755,0.15544,0.92324,,
756,0.15489,0.92066,,
757,0.14977,0.92617,,
758,0.10926,0.96727,,
759,0.10725,0.94179,,
760,0.14265,0.92791,,
761,0.12956,0.94516,,
762,0.1681,0.91909,,
763,0.11196,0.9505,,
764,0.14112,0.93025,,
765,0.12966,0.93507,,
766,0.16129,0.90925,,
767,0.13195,0.93937,,
768,0.10925,0.94505,,
769,0.09785,0.95811,,
770,0.15629,0.93193,,
771,0.13624,0.9359,,
772,0.1307,0.95037,,
773,0.10911,0.94023,,
774,0.07501,0.96696,,
775,0.09847,0.95381,,
776,0.1046,0.9508,,
777,0.10779,0.93827,,
778,0.13729,0.93045,,
779,0.09975,0.96295,,
780,0.10316,0.9368,,
781,0.10869,0.94322,,
782,0.17801,0.91255,,
783,0.12842,0.9289,,
784,0.10849,0.94738,,
785,0.11169,0.92902,,
786,0.11256,0.95017,,
787,0.16515,0.92685,,
788,0.12802,0.93404,,
789,0.09713,0.94944,,
790,0.11175,0.94711,,
791,0.17881,0.91988,,
792,0.13732,0.94213,,
793,0.13278,0.93579,,
794,0.13545,0.94426,,
795,0.15619,0.93138,,
796,0.13009,0.93157,,
797,0.12399,0.94275,,
798,0.10552,0.94492,,
799,0.12393,0.93929,,
800,0.15068,0.93164,,
801,0.13739,0.93175,0.13742,0.69914
